hospital_name,hospital_type,address,hq_city,hq_state,hq_zip,county,state,state_fips,county_fips,fips,licensed_beds,staffed_beds,icu_beds,adult_icu_beds,pedi_icu_beds,bed_utilization,avg_ventilator_usage,increase_in_bed_capacity
"""Phoenix VA Health Care System (AKA Carl T Hayden VA Medical Center)""","""VA Hospital""","""650 E Indian School Rd""","""Phoenix""","""AZ""","""85012""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",129,129,0,0,null,null,0,0
"""Southern Arizona VA Health Care System""","""VA Hospital""","""3601 S 6th Ave""","""Tucson""","""AZ""","""85723""","""Pima""","""Arizona""","""04""","""019""","""04019""",295,295,2,2,null,null,2,0
"""VA Central California Health Care System""","""VA Hospital""","""2615 E Clinton Ave""","""Fresno""","""CA""","""93703""","""Fresno""","""California""","""06""","""019""","""06019""",57,57,2,2,null,null,2,0
"""VA Connecticut Healthcare System - West Haven Campus (AKA West Haven VA Medical Center)""","""VA Hospital""","""950 Campbell Ave""","""West Haven""","""CT""","""6516""","""New Haven""","""Connecticut""","""09""","""009""","""09009""",216,216,1,1,null,null,2,0
"""Wilmington VA Medical Center""","""VA Hospital""","""1601 Kirkwood Hwy""","""Wilmington""","""DE""","""19805""","""New Castle""","""Delaware""","""10""","""003""","""10003""",60,60,0,0,null,null,1,0
"""Washington DC VA Medical Center""","""VA Hospital""","""50 Irving St Nw""","""Washington""","""DC""","""20422""","""District of Columbia""","""District of Columbia""","""11""","""001""","""11001""",164,164,1,1,null,null,2,0
"""North Florida/South Georgia Veterans Health System - Malcom Randall VA Medical Center""","""VA Hospital""","""1601 Sw Archer Rd""","""Gainesville""","""FL""","""32608""","""Alachua""","""Florida""","""12""","""001""","""12001""",432,289,2,2,null,null,2,143
"""Boise VA Medical Center""","""VA Hospital""","""500 W Fort St""","""Boise""","""ID""","""83702""","""Ada""","""Idaho""","""16""","""001""","""16001""",46,46,1,1,null,null,1,0
"""Overton Brooks VA Medical Center""","""VA Hospital""","""510 E Stoner Ave""","""Shreveport""","""LA""","""71101""","""Caddo""","""Louisiana""","""22""","""017""","""22017""",111,111,1,1,null,null,2,0
"""Merit Health River Oaks (FKA River Oaks Hospital - Jackson)""","""Short Term Acute Care Hospital""","""1030 River Oaks Dr""","""Flowood""","""MS""","""39232""","""Rankin""","""Mississippi""","""28""","""121""","""28121""",160,160,10,10,20,0.27986822,2,0
"""Harry S Truman Memorial Veterans Hospital""","""VA Hospital""","""800 Hospital Dr""","""Columbia""","""MO""","""65201""","""Boone""","""Missouri""","""29""","""019""","""29019""",126,126,2,2,null,null,2,0
"""New Mexico VA Health Care System - Raymond G Murphy VA Medical Center""","""VA Hospital""","""1501 San Pedro Dr Se""","""Albuquerque""","""NM""","""87108""","""Bernalillo""","""New Mexico""","""35""","""001""","""35001""",184,184,1,1,null,null,1,0
"""Albany Stratton VA Medical Center""","""VA Hospital""","""113 Holland Ave""","""Albany""","""NY""","""12208""","""Albany""","""New York""","""36""","""001""","""36001""",156,156,2,2,null,null,2,0
"""James J Peters VA Medical Center""","""VA Hospital""","""130 W Kingsbridge Rd""","""Bronx""","""NY""","""10468""","""Bronx""","""New York""","""36""","""005""","""36005""",311,311,2,2,null,null,2,0
"""Fargo VA Health Care System""","""VA Hospital""","""2101 Elm St N""","""Fargo""","""ND""","""58102""","""Cass""","""North Dakota""","""38""","""017""","""38017""",37,37,1,1,null,null,1,0
"""Roseburg VA Health Care System""","""VA Hospital""","""913 Nw Garden Valley Blvd""","""Roseburg""","""OR""","""97471""","""Douglas""","""Oregon""","""41""","""019""","""41019""",null,null,0,0,null,null,0,0
"""VA Pittsburgh Healthcare System - University Drive""","""VA Hospital""","""4100 Allequippa St""","""Pittsburgh""","""PA""","""15219""","""Allegheny""","""Pennsylvania""","""42""","""003""","""42003""",146,146,2,2,null,null,2,0
"""Prattville Baptist Hospital""","""Short Term Acute Care Hospital""","""124 S Memorial Dr""","""Prattville""","""AL""","""36067""","""Autauga""","""Alabama""","""01""","""001""","""01001""",85,55,6,6,0,0.5846498,2,30
"""Thomas Hospital""","""Short Term Acute Care Hospital""","""750 Morphy Ave""","""Fairhope""","""AL""","""36532""","""Baldwin""","""Alabama""","""01""","""003""","""01003""",150,129,17,17,0,0.8743124,3,21
"""North Baldwin Infirmary""","""Short Term Acute Care Hospital""","""1815 Hand Ave""","""Bay Minette""","""AL""","""36507""","""Baldwin""","""Alabama""","""01""","""003""","""01003""",58,25,4,4,0,0.55038249,2,33
"""Medical Center Barbour""","""Short Term Acute Care Hospital""","""820 W Washington St""","""Eufaula""","""AL""","""36027""","""Barbour""","""Alabama""","""01""","""005""","""01005""",74,30,5,5,0,0.37872148,2,44
"""Bibb Medical Center""","""Short Term Acute Care Hospital""","""208 Pierson Ave""","""Centreville""","""AL""","""35042""","""Bibb""","""Alabama""","""01""","""007""","""01007""",35,25,4,4,0,0.43090412,1,10
"""St Vincents Blount""","""Critical Access Hospital""","""150 Gilbreath Dr""","""Oneonta""","""AL""","""35121""","""Blount""","""Alabama""","""01""","""009""","""01009""",25,25,6,6,0,0.45202187,2,0
"""Bullock County Hospital""","""Short Term Acute Care Hospital""","""102 Conecuh Ave W""","""Union Springs""","""AL""","""36089""","""Bullock""","""Alabama""","""01""","""011""","""01011""",61,25,5,5,0,0.32164383,1,36
"""Regional Medical Center of Central Alabama (FKA LV Stabler Memorial Hospital)""","""Short Term Acute Care Hospital""","""29 L V Stabler Dr""","""Greenville""","""AL""","""36037""","""Butler""","""Alabama""","""01""","""013""","""01013""",72,44,7,7,0,0.18711084,2,28
"""Stringfellow Memorial Hospital""","""Short Term Acute Care Hospital""","""301 E 18th St""","""Anniston""","""AL""","""36207""","""Calhoun""","""Alabama""","""01""","""015""","""01015""",125,125,6,6,0,0.25909042,2,0
"""Regional Medical Center Anniston (FKA Northeast Alabama Regional Medical Center - Anniston)""","""Short Term Acute Care Hospital""","""400 E 10th St""","""Anniston""","""AL""","""36207""","""Calhoun""","""Alabama""","""01""","""015""","""01015""",323,272,18,18,0,0.51079774,11,51
"""East Alabama Medical Center - Lanier""","""Short Term Acute Care Hospital""","""4800 48th St""","""Valley""","""AL""","""36854""","""Chambers""","""Alabama""","""01""","""017""","""01017""",115,84,15,15,null,0.39872646,0,31
"""Cherokee Medical Center""","""Short Term Acute Care Hospital""","""400 Northwood Dr""","""Centre""","""AL""","""35960""","""Cherokee""","""Alabama""","""01""","""019""","""01019""",60,45,8,8,0,0.20437159,1,15
"""Grove Hill Memorial Hospital""","""Short Term Acute Care Hospital""","""295 S Jackson St""","""Grove Hill""","""AL""","""36451""","""Clarke""","""Alabama""","""01""","""025""","""01025""",50,21,4,4,0,0.21870933,1,29
"""Jackson Medical Center""","""Short Term Acute Care Hospital""","""220 Hospital Dr""","""Jackson""","""AL""","""36545""","""Clarke""","""Alabama""","""01""","""025""","""01025""",35,35,6,6,0,0.24438356,1,0
"""Clay County Hospital""","""Short Term Acute Care Hospital""","""83825 Highway 9""","""Ashland""","""AL""","""36251""","""Clay""","""Alabama""","""01""","""027""","""01027""",45,46,4,4,0,0.28064325,2,-1
"""Medical Center Enterprise""","""Short Term Acute Care Hospital""","""400 N Edwards St""","""Enterprise""","""AL""","""36330""","""Coffee""","""Alabama""","""01""","""031""","""01031""",131,99,7,7,0,0.27961808,2,32
"""North Alabama Shoals Hospital (FKA Shoals Hospital)""","""Short Term Acute Care Hospital""","""201 W Avalon Ave""","""Muscle Shoals""","""AL""","""35661""","""Colbert""","""Alabama""","""01""","""033""","""01033""",198,122,10,10,0,0.17876019,2,76
"""Evergreen Medical Center""","""Short Term Acute Care Hospital""","""101 Crestview Ave""","""Evergreen""","""AL""","""36401""","""Conecuh""","""Alabama""","""01""","""035""","""01035""",58,44,8,8,0,0.29943961,0,14
"""Andalusia Regional Hospital (AKA Andalusia Health)""","""Short Term Acute Care Hospital""","""849 S Three Notch St""","""Andalusia""","""AL""","""36420""","""Covington""","""Alabama""","""01""","""039""","""01039""",88,83,8,8,0,0.31137666,2,5
"""Mizell Memorial Hospital""","""Short Term Acute Care Hospital""","""702 N Main St""","""Opp""","""AL""","""36467""","""Covington""","""Alabama""","""01""","""039""","""01039""",99,45,5,5,0,0.30630136,2,54
"""Crenshaw Community Hospital""","""Short Term Acute Care Hospital""","""101 Hospital Dr""","""Luverne""","""AL""","""36049""","""Crenshaw""","""Alabama""","""01""","""041""","""01041""",65,29,5,5,0,0.13989028,2,36
"""Cullman Regional Medical Center""","""Short Term Acute Care Hospital""","""1912 Alabama Hwy 157""","""Cullman""","""AL""","""35058""","""Cullman""","""Alabama""","""01""","""043""","""01043""",145,133,12,12,0,0.5414561,5,12
"""Dale Medical Center""","""Short Term Acute Care Hospital""","""126 Hospital Ave""","""Ozark""","""AL""","""36360""","""Dale""","""Alabama""","""01""","""045""","""01045""",89,77,6,6,0,0.26493508,2,12
"""Vaughan Regional Medical Center""","""Short Term Acute Care Hospital""","""1015 Medical Center Pkwy""","""Selma""","""AL""","""36701""","""Dallas""","""Alabama""","""01""","""047""","""01047""",175,109,23,23,0,0.38494509,2,66
"""Dekalb Regional Medical Center""","""Short Term Acute Care Hospital""","""200 Medical Center Dr""","""Fort Payne""","""AL""","""35968""","""DeKalb""","""Alabama""","""01""","""049""","""01049""",134,97,12,12,0,0.27885753,3,37
"""Community Hospital""","""Short Term Acute Care Hospital""","""805 Friendship Rd""","""Tallassee""","""AL""","""36078""","""Elmore""","""Alabama""","""01""","""051""","""01051""",69,37,5,5,0,0.29389116,2,32
"""Elmore Community Hospital""","""Short Term Acute Care Hospital""","""500 Hospital Dr""","""Wetumpka""","""AL""","""36092""","""Elmore""","""Alabama""","""01""","""051""","""01051""",69,33,6,6,0,0.30469075,1,36
